words,sentiment_coeff
fair,-11.225978390786356
le,-10.169840376005721
franc,-11.123002808444872
tout,-11.1158178866158
plus,-10.030326393643866
aller,-15.609151590008867
pr,-5.288126993696743
fran,-13.940602085251063
sident,-12.266572086780103
visag,1.9132416282876314
pouvoir,-13.749722905753025
vous,-19.609236592068633
macron,-5.9302302637166555
pay,-15.883188412405085
ce,-18.26780501962957
pour,-12.275139388360039
il,-18.0626792097678
et,-25.387918739920917
tre,-13.066995988195641
comm,-18.01901471610845
russ,-10.939076858847482
bien,-27.25132784326387
dir,-13.445995650621494
guerr,-11.796487260786462
ai,-14.615420566784321
afriqu,-14.274588578985382
si,-24.990967779146494
vouloir,-17.16481476893973
san,-23.27426553091074
voir,-19.481336093937998
rien,-11.291770440241118
falloir,-14.029489944301826
on,-20.412099178915486
larm,1.292089326191677
quand,-13.781872541636668
sol,1.3505133703899181
parl,-19.583198894338004
non,-18.23910763205609
re,-13.474030996390143
un,-19.771451266085673
bon,-20.64210626104991
je,-17.79178193216934
autr,-21.838504593745164
devoir,-15.136704398234262
europ,-14.496229683672501
monsieur,-14.015029870060989
quoi,-16.092784435133122
contr,-2.6818709990938787
merc,-16.752528015228492
prendr,-6.402709554152146
encor,-15.350636565071316
auss,-20.506550770614755
r,-20.64889178103214
mettr,-14.262215260523742
pens,-19.106302414244347
vrai,-28.08427697942027
africain,-13.377770979719669
en,-12.393056281966382
arriv,-24.652994228654553
an,-12.112319337442349
tu,-32.41059104564842
savoir,-21.01337460252645
peupl,-13.565478236329405
alor,-21.121605785178087
quel,-24.322409872438413
mond,-21.287829337497055
oui,-16.967174151180902
avoir,-21.443265508167077
tr,-18.073078085752115
pompi,-13.697670660540929
de,-18.119552982883224
arr,-18.854303479278833
grand,-16.700039024090195
mais,-23.77063757443151
toujour,-6.91345913647821
part,-20.672869053894814
ven,-24.62120317048799
pass,-21.25824648511381
person,-10.302294209144756
temp,-21.199612180136015
ver,2.1940435894873636
celui,-16.84643599320223
jour,-20.24066060733362
joievisag,1.3111994597427208
depuis,-18.839529785818844
